기간	구분	총지수	식료품 및 비주류음료	식료품 및 비주류음료	식료품 및 비주류음료	주류ㆍ담배	주류ㆍ담배	주류ㆍ담배	의복ㆍ신발	의복ㆍ신발	의복ㆍ신발	주택ㆍ수도ㆍ전기 및 연료	주택ㆍ수도ㆍ전기 및 연료	주택ㆍ수도ㆍ전기 및 연료	주택ㆍ수도ㆍ전기 및 연료	주택ㆍ수도ㆍ전기 및 연료	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	가정용품 및 가사서비스	보건	보건	보건	보건	교통	교통	교통	교통	통신	통신	통신	통신	오락 및 문화	오락 및 문화	오락 및 문화	오락 및 문화	오락 및 문화	오락 및 문화	오락 및 문화	교육	교육	교육	교육	교육	음식 및 숙박	음식 및 숙박	음식 및 숙박	기타 상품 및 서비스	기타 상품 및 서비스	기타 상품 및 서비스	기타 상품 및 서비스
기간	구분	총지수	계	식료품	비주류음료	계	주류	담배	계	의류	신발	계	주택임차료	주거시설 유지·보수	수도 및 주거관련 서비스	전기가스 및 기타연료	계	가구ㆍ가사비품 및 카페트	가정용 섬유제품	가정용 기기	주방용품 및 가정용품	가정ㆍ정원용 공구 및 장비	일상 생활용품 및 가사서비스	계	의료용품 및 장비	외래환자 서비스	병원서비스	계	운송장비	개인운송장비 운영	운송서비스	계	우편서비스	전화 및 팩스장비	전화 및 팩스서비스	계	음향ㆍ영상ㆍ사진 및 정보처리 장비	기타 오락 및 문화용 주요내구재	기타 오락용품ㆍ조경용품 및 애완동물	오락 및 문화서비스	신문ㆍ서적 및 문방구	단체여행	계	유치원 및 초등교육	중등교육	고등교육	기타교육	계	음식서비스	숙박서비스	계	미용용품 및 미용서비스	기타 개인용품	기타 서비스
2010.01	구분	88.974	84.112	84.2	83.399	65.478	96.209	54.609	84.817	84.07	89.309	84.184	83.277	84.513	81.104	89.228	87.712	90.14	91.069	91.811	81.034	91.592	85.24	94.921	95.66	95.681	91.278	95.546	99.498	104.976	84.32	105.084	84.374	120.871	104.778	96.198	140.968	94	95.247	91.822	84.011	88.244	91.088	116.08	113.148	101.221	84.429	87.913	87.954	82.829	93.45	86.054	75.587	126.184
2010.02	구분	89.154	84.635	84.723	83.399	65.478	96.209	54.609	84.732	83.901	89.22	84.524	83.446	84.513	83.279	89.228	88.069	90.14	91.069	92.086	82.765	91.501	85.508	95.016	95.756	95.777	91.37	95.159	99.3	104.547	84.066	105.084	84.374	120.871	104.778	96.296	138.648	94	95.717	91.915	84.011	89.276	91.088	116.08	113.148	101.221	84.429	88.543	88.765	81.236	93.544	85.967	76.658	126.184
2010.03	구분	89.515	85.244	85.421	83.483	65.412	95.824	54.609	84.732	83.986	88.955	84.524	83.699	84.26	81.426	89.318	89.588	89.596	91.069	91.903	82.847	90.863	89.961	95.016	95.756	95.777	91.462	95.932	99.201	106.479	84.066	104.457	84.374	120.871	104.153	96.198	138.648	94	92.896	92.471	85.385	88.15	92.38	123.481	113.148	102.242	85.368	88.993	89.125	81.571	93.262	85.967	74.822	126.058
2010.04	구분	89.875	86.724	86.905	84.077	65.478	96.112	54.609	84.732	83.986	89.043	84.524	83.868	84.429	80.862	89.318	89.052	89.596	91.069	91.903	80.209	90.863	89.338	95.111	95.852	95.777	91.462	96.608	99.3	107.659	84.32	104.457	84.374	120.871	104.153	96.588	138.102	94	94.589	92.657	85.385	89.276	92.472	124.961	113.148	102.242	85.453	89.623	89.756	82.745	93.074	85.88	74.822	125.68
2010.05	구분	89.875	85.854	85.945	84.839	65.478	96.112	54.609	84.817	84.155	88.867	84.78	84.121	84.344	80.862	89.318	89.32	90.412	91.069	91.72	82.435	90.863	89.338	95.016	95.66	95.777	91.462	96.801	99.3	107.874	84.32	104.457	84.374	120.871	104.153	96.978	136.328	94	94.119	92.749	85.47	91.999	92.472	124.961	113.148	102.242	85.453	89.983	90.116	82.745	93.544	85.88	77.194	125.68
2010.06	구분	89.695	84.635	84.636	84.585	65.478	96.305	54.609	85.328	84.662	89.043	84.78	84.374	84.344	79.654	89.318	89.32	90.412	91.069	91.628	82.6	90.863	89.338	95.111	95.852	95.873	91.553	96.512	99.3	107.337	84.236	104.457	84.374	120.871	104.153	96.588	135.509	94.094	92.896	92.842	85.47	91.248	92.472	124.961	113.148	102.242	85.453	90.073	90.207	83.499	93.732	86.141	77.194	125.806
2010.07	구분	89.965	84.983	84.985	85.263	65.412	95.92	54.609	85.413	84.662	89.662	84.865	84.543	84.429	79.413	89.318	89.052	90.412	91.069	90.621	82.847	91.136	89.248	95.111	95.66	95.873	92.012	97.188	99.3	108.196	85.167	104.457	84.374	120.871	104.153	98.537	135.236	94.094	93.555	92.842	86.157	99.321	92.565	124.961	113.148	102.242	85.539	90.163	90.297	85.511	94.202	87.008	77.194	125.554
2010.08	구분	90.416	87.16	87.254	85.263	65.478	96.305	54.609	85.413	84.662	89.662	85.12	84.627	84.429	80.057	89.859	89.677	91.317	93.277	91.079	83.095	91.227	89.605	95.302	96.043	95.969	92.012	97.285	99.399	107.981	85.675	104.457	84.374	120.871	104.153	98.83	135.1	93.624	93.461	92.842	86.328	100.729	92.565	124.961	113.148	102.242	85.539	90.253	90.387	84.757	94.202	87.095	76.888	125.554
2010.09	구분	91.227	92.036	92.489	85.433	65.543	96.401	54.609	85.498	84.662	90.281	85.715	84.711	84.429	79.735	92.56	89.856	91.317	93.277	91.079	83.012	91.319	90.139	95.397	96.139	95.969	92.012	96.415	99.3	106.586	84.998	104.457	84.374	120.871	104.153	98.927	135.236	94	93.931	92.842	87.187	99.79	92.657	124.961	113.148	102.344	85.624	90.703	90.837	83.499	94.86	87.876	76.888	126.563
